state_name,district_name,fir_year,fil_year,reg_year_date,total_cases
Delhi,North West,0   ,2016,2016,3
Assam,Golaghat,0   ,2017,2017,43
Haryana,Hisar,2018,2019,2019,10
Assam,Jorhat,2018,2018,2018,39
Delhi,North,2015,2016,2016,56
Haryana,Yamunanagar,2014,2015,2015,17
Delhi,West,2017,2019,2017,1
Delhi,Central,2017,2017,2017,97
Assam,Golaghat,2015,2019,2019,3
Delhi,Shahdara,2013,2018,2018,1
Assam,Bongaigaon,2015,2015,2016,2
Assam,Karbi Anglong,2017,2019,2019,3
Haryana,Faridabad,2017,2020,2020,1
Assam,Golaghat,2018,2020,2020,1
Haryana,Jind,2018,2019,2019,3
Haryana,Sirsa,2016,2017,2017,14
Delhi,Central,2014,2015,2015,37
Assam,Cachar,2015,2019,2019,2
Assam,Tinsukia,2019,2019,2019,59
Assam,Dhubri,2018,2019,2019,46
Delhi,North,2018,2020,2020,3
Haryana,Panchkula,2015,2016,2016,2
Haryana,Sirsa,2014,2015,2015,6
Assam,Jorhat,2016,2016,2016,2
Delhi,North West,2018,2018,2018,157
Delhi,East,2012,2013,2013,1
Haryana,Jhajjar,2020,2020,2020,2
Haryana,Bhiwani,2019,2020,2020,5
Haryana,Rohtak,2015,2015,2015,34
Assam,Cachar,2013,2014,2014,1
Assam,Cachar,2016,2018,2018,3
Haryana,Kurukshetra,2017,2018,2018,1
Assam,Kokrajhar,2019,2019,2019,33
Delhi,South,2013,2016,2016,1
Assam,Kamrup Metro,2016,2019,2019,5
Haryana,Sirsa,0   ,2019,2019,1
Haryana,Rewari,2020,2020,2020,8
Assam,Baksa,2018,2018,2018,41
Assam,Tinsukia,2020,2020,2020,11
Assam,Jorhat,2013,0   ,2013,1
Haryana,Fatehabad,2020,2020,2020,3
Delhi,North West,2019,2020,2020,55
Assam,Sonitpur,2016,2016,2016,1
Assam,Kamrup,0   ,2016,2016,4
Delhi,North West,2015,2018,2018,22
Haryana,Sirsa,2014,2014,2014,31
Assam,Nalbari,2015,2017,2017,1
Delhi,Shahdara,2014,2015,2015,10
Haryana,Kaithal,2019,2019,2019,41
Delhi,West,2013,2016,2016,12
Delhi,South East,0   ,2017,2017,3
Haryana,Rohtak,2020,2020,2020,3
Delhi,New Delhi,2016,2017,2018,1
Delhi,East,2014,2016,2016,6
Assam,Tinsukia,2014,0   ,2014,2
Haryana,Ambala,0   ,2019,2019,1
Delhi,North East,2017,2019,2019,28
Delhi,North,2016,2016,2016,106
Assam,Golaghat,2017,2019,2019,9
Delhi,Central,2019,2019,2019,115
Haryana,Gurugram,2013,2019,2019,1
Haryana,Bhiwani,2018,2020,2020,1
Delhi,South West,2014,2016,2016,14
Assam,Kamrup Metro,2014,2017,2017,6
Assam,Nagaon,2020,2020,2020,2
Assam,Golaghat,2019,2019,2019,39
Delhi,South,2018,2019,2018,2
Assam,Kamrup,2015,2016,2015,1
Haryana,Palwal,2018,2018,2018,47
Assam,Barpeta,2013,2018,2018,1
Delhi,South East,2018,2018,2018,105
Delhi,Shahdara,2017,2019,2019,28
Assam,Sivasagar,2013,2019,2019,1
Delhi,West,2012,2014,2014,2
Delhi,East,2013,2014,2014,11
Haryana,Faridabad,2018,2019,2020,1
Haryana,Hisar,2015,2016,2016,5
Assam,Morigaon,2015,2017,2017,10
Assam,Barpeta,2014,2015,2015,1
Assam,Kamrup,0   ,2016,2015,1
Delhi,South,2014,2016,2014,1
Delhi,North,2017,2017,2018,2
Assam,Kamrup Metro,2014,2020,2020,3
Delhi,East,2016,2016,2016,41
Assam,Barpeta,0   ,2015,2015,3
Assam,Sonitpur,2015,2018,2018,1
Delhi,Shahdara,2013,2020,2020,2
Assam,Lakhimpur,2017,2019,2019,2
Assam,Kamrup Metro,2018,2019,2019,36
Delhi,Shahdara,2015,2016,2016,27
Assam,Kamrup Metro,2015,2019,2019,3
Delhi,New Delhi,2013,2013,2013,1
Delhi,West,2017,2017,2017,133
Assam,Sonitpur,0   ,2016,2016,51
Delhi,New Delhi,2017,2017,2017,66
Assam,Karbi Anglong,2020,2020,2020,5
Assam,Dhubri,2017,2019,2019,4
Assam,Dhemaji,2015,2018,2018,1
Delhi,West,2017,2020,2020,3
Delhi,South East,2019,2020,2020,17
Assam,Sivasagar,2019,2020,2020,12
Delhi,South East,2017,2019,2019,8
Assam,Barpeta,2017,2017,2017,14
Assam,Barpeta,2014,2017,2017,2
Delhi,South West,2013,2016,2016,7
Assam,Nalbari,2016,2017,2017,15
Delhi,East,2017,2020,2020,1
Assam,Lakhimpur,2012,2017,2017,1
Assam,Nalbari,2016,2018,2018,3
Assam,Chirang,0   ,2018,2017,3
Assam,Cachar,2018,2020,2020,5
Assam,Nalbari,2014,2014,2014,2
Delhi,West,2019,2020,2020,42
Assam,Udalguri,0   ,2016,2016,3
Assam,Goalpara,2016,2018,2018,2
Assam,Cachar,2013,2020,2020,1
Assam,Udalguri,0   ,2017,2017,5
Assam,Kokrajhar,0   ,2019,2019,1
Delhi,New Delhi,2015,2016,2016,10
Assam,Sonitpur,2017,2019,2019,1
Delhi,West,2014,2016,2017,1
Delhi,East,2014,2016,2015,1
Assam,Sonitpur,2018,2018,2018,35
Assam,Kamrup Metro,2013,2017,2017,4
Assam,Tinsukia,2015,0   ,2015,4
Assam,Sonitpur,0   ,2020,2020,13
Assam,Dhubri,0   ,2015,2015,2
Haryana,Panipat,2018,2019,2019,10
Delhi,East,2020,2020,2020,6
Assam,Karbi Anglong,2019,2019,2019,44
Assam,Morigaon,2014,2018,2018,1
Assam,Barpeta,2016,2017,2017,21
Delhi,South,2015,2015,2016,1
Assam,Chirang,0   ,2015,2015,1
Delhi,North,2012,2013,2013,1
Assam,Jorhat,0   ,0   ,2014,1
Assam,Kamrup,2016,2018,2018,15
Assam,Lakhimpur,2014,2014,2014,1
Assam,Chirang,2018,2019,2019,8
Delhi,Shahdara,2014,2018,2018,6
Assam,Lakhimpur,2013,2015,2015,1
Delhi,South,2012,2018,2018,1
Delhi,New Delhi,2015,2019,2019,4
Assam,Golaghat,2016,2016,2016,7
Haryana,Jind,2015,2016,2016,4
Assam,Darrang,2015,2016,2016,1
Assam,Karimganj,2020,2020,2020,1
Assam,Darrang,2015,2015,2015,1
Haryana,Panchkula,2017,2017,2017,21
Assam,Karimganj,2016,2017,2017,1
Assam,Jorhat,0   ,2016,2016,7
Delhi,South East,2016,2017,2017,33
Delhi,Central,2015,2017,2017,12
Haryana,Palwal,2019,2020,2020,12
Assam,Lakhimpur,2019,2020,2020,5
Haryana,Kurukshetra,2019,2019,2019,49
Assam,Sonitpur,2015,2019,2019,1
Assam,Kamrup,2013,2016,2015,1
Assam,Udalguri,2015,2017,2015,1
Haryana,Sonepat,2016,2018,2018,1
Assam,Darrang,0   ,2017,2017,7
Assam,Barpeta,2017,2018,2018,33
Assam,Darrang,0   ,2019,2019,84
Haryana,Panchkula,2019,2019,2019,18
Delhi,North East,2015,2017,2017,8
Delhi,North West,2014,2016,2016,16
Delhi,West,2012,2017,2017,2
Assam,Lakhimpur,2013,2013,2013,1
Haryana,Palwal,2018,2020,2020,2
Assam,Lakhimpur,2016,2017,2017,10
Assam,Dhemaji,2013,2016,2016,1
Delhi,Shahdara,2016,2016,2016,29
Assam,Nagaon,2017,2020,2020,2
Assam,Karimganj,0   ,2017,2017,1
Haryana,Palwal,2016,2019,2019,1
Assam,Nalbari,2017,2019,2019,4
Assam,Hailakandi,0   ,2018,2018,26
Haryana,Hisar,2016,2019,2019,1
Assam,Dibrugarh,0   ,2019,2019,1
Delhi,North East,2013,2015,2015,2
Haryana,Jind,2016,2017,2017,19
Delhi,North East,2015,2015,2015,15
Delhi,East,2015,2015,2015,40
Delhi,Central,2020,2020,2020,7
Assam,Dhubri,0   ,0   ,2016,5
Assam,Jorhat,0   ,0   ,2015,1
Assam,Hailakandi,2019,2019,2019,30
Delhi,New Delhi,0   ,2016,2016,8
Delhi,South,2015,2016,2016,31
Delhi,North West,2015,2020,2020,1
Assam,Lakhimpur,2017,2020,2020,1
Assam,Nalbari,2014,2015,2015,3
Delhi,South West,2014,2017,2017,15
Assam,Jorhat,2017,2017,2017,8
Delhi,North,2013,2014,2014,13
Delhi,South,2013,2014,2015,9
Haryana,Rewari,2019,2020,2020,12
Assam,Barpeta,2016,2017,2018,1
Haryana,Rohtak,2019,2019,2019,43
Delhi,South,2018,2018,2018,74
Assam,Golaghat,2015,2016,2016,15
Haryana,Sonepat,2015,2015,2015,43
Delhi,West,2015,2017,2017,12
Delhi,South East,2015,2015,2015,30
Assam,Golaghat,2013,2015,2015,3
Delhi,South East,2014,2017,2017,7
Assam,Lakhimpur,2017,2018,2018,1
Assam,Cachar,0   ,2014,2014,2
Assam,Barpeta,2018,2019,2019,56
Haryana,Hisar,0   ,2019,2019,1
Assam,Kamrup,2017,2020,2020,1
Assam,Darrang,2017,2019,2019,2
Delhi,South West,2014,2015,2015,18
Haryana,Jhajjar,2015,2015,2015,34
Haryana,Jhajjar,2017,2018,2018,14
Assam,Golaghat,2015,2017,2017,1
Delhi,Shahdara,2020,2020,2020,3
Assam,Goalpara,2016,2019,2019,1
Assam,Jorhat,2015,2019,2019,1
Assam,Baksa,0   ,2019,2019,1
Assam,Dhubri,2015,2016,2016,3
Assam,Jorhat,0   ,2017,2017,9
Assam,Sonitpur,0   ,0   ,2014,2
Assam,Udalguri,2016,2017,2017,3
Assam,Kamrup,0   ,2019,2019,15
Delhi,North West,2017,2019,2019,24
Assam,Udalguri,2017,2018,2018,10
Delhi,South West,2017,2019,2019,13
Assam,Karbi Anglong,2016,2018,2016,1
Delhi,South East,2018,2020,2020,1
Assam,Cachar,2017,2019,2019,11
Haryana,Jhajjar,2013,2014,2014,1
Delhi,West,2015,2016,2016,78
Assam,Goalpara,2018,2019,2019,20
Assam,Sivasagar,0   ,2017,2017,2
Haryana,Jind,2020,2020,2020,1
Haryana,Sirsa,2018,2019,2019,11
Assam,Cachar,2015,2018,2018,4
Assam,Kamrup,2013,2019,2019,1
Assam,Kokrajhar,2017,2017,2017,4
Assam,Dhubri,2015,0   ,2016,3
Assam,Cachar,0   ,2017,2017,1
Assam,Sivasagar,2018,2019,2019,27
Haryana,Sonepat,2016,2016,2016,57
Delhi,East,2012,2012,2012,1
Assam,Dhemaji,0   ,2017,2017,3
Delhi,East,2015,2019,2019,4
Haryana,Fatehabad,2016,2017,2017,11
Assam,Dima Hasao,2018,2020,2020,1
Assam,Lakhimpur,2018,2018,2018,13
Assam,Kokrajhar,2017,2018,2018,9
Delhi,East,2017,2018,2018,39
Haryana,Kaithal,2017,2017,2017,21
Assam,Dibrugarh,2014,2015,2015,11
Assam,Darrang,2018,2019,2019,2
Delhi,Shahdara,2015,2018,2018,16
Assam,Sivasagar,0   ,2019,2019,12
Assam,Golaghat,2017,2020,2020,2
Delhi,North West,2017,2018,2018,76
Assam,Sivasagar,2016,2016,2017,1
Assam,Dibrugarh,0   ,2014,2014,13
Assam,Sivasagar,2017,2018,2018,2
Haryana,Faridabad,2015,2020,2020,1
Assam,Baksa,2019,2020,2020,6
Delhi,Shahdara,2016,2020,2020,1
Assam,Nalbari,2014,0   ,2015,1
Assam,Morigaon,2013,2018,2018,2
Assam,Lakhimpur,2014,2016,2016,4
Haryana,Faridabad,0   ,2017,2017,4
Assam,Kamrup Metro,2018,2020,2020,5
Delhi,West,2014,2017,2017,18
Assam,Lakhimpur,2015,2015,2015,2
Haryana,Palwal,2020,2020,2020,4
Delhi,South West,2019,2019,2019,148
Assam,Goalpara,0   ,2017,2017,1
Assam,Kamrup,2016,2018,2016,1
Haryana,Panipat,2015,2016,2016,12
Assam,Morigaon,2013,2019,2019,1
Delhi,South West,2013,2019,2019,3
Haryana,Rohtak,2017,2017,2017,43
Delhi,North West,2017,2017,2017,124
Assam,Sonitpur,2018,2020,2020,1
Delhi,Shahdara,2014,2014,2014,17
Assam,Kamrup,0   ,2018,2018,4
Assam,Goalpara,2018,2018,2018,10
Assam,Golaghat,2016,2018,2018,3
Delhi,East,2012,2015,2015,1
Haryana,Sirsa,0   ,2017,2017,1
Haryana,Sirsa,2015,2016,2016,7
Delhi,South West,2018,2018,2018,196
Delhi,South West,2012,2018,2018,1
Delhi,South East,2015,2017,2017,4
Haryana,Ambala,2019,2019,2019,55
Haryana,Jind,2019,2019,2019,34
Assam,Chirang,2018,2018,2018,4
Assam,Dibrugarh,2016,2017,2017,1
Assam,Morigaon,2013,2016,2016,2
Haryana,Faridabad,2019,2020,2020,13
Delhi,Central,2014,2016,2016,10
Haryana,Jhajjar,2018,2019,2019,10
Assam,Dhubri,2017,2017,2017,12
Assam,Nagaon,2013,0   ,2013,1
Assam,Chirang,2016,2016,2016,4
Assam,Dibrugarh,2013,2015,2015,4
Assam,Dhubri,2017,2018,2018,24
Delhi,South West,2015,2019,2019,2
Assam,Morigaon,2014,2017,2017,2
Delhi,South West,2012,2020,2020,1
Assam,Barpeta,2014,2016,2016,5
Assam,Karimganj,2015,2015,2015,5
Delhi,South,2014,2017,2016,1
Delhi,East,2013,2013,2013,9
Delhi,Shahdara,2013,2016,2016,1
Delhi,North,2014,2018,2018,6
Delhi,South,0   ,2017,2017,2
Haryana,Sonepat,2017,2019,2019,3
Delhi,South,2015,2017,2017,19
Assam,Kamrup,0   ,2020,2020,2
Assam,Cachar,2013,2017,2017,3
Haryana,Sirsa,2015,2015,2015,21
Haryana,Fatehabad,2017,2018,2018,14
Assam,Kamrup Metro,2014,2019,2019,2
Assam,Golaghat,2014,2016,2016,4
Delhi,East,2015,2016,2016,21
Assam,Dhemaji,2016,2016,2016,11
Haryana,Kurukshetra,2014,2015,2015,4
Assam,Karimganj,0   ,2018,2018,1
Delhi,North West,2015,2015,2015,7
Assam,Kamrup Metro,2015,2015,2015,5
Delhi,New Delhi,2019,2019,2019,65
Assam,Kamrup Metro,2019,2019,2019,23
Assam,Kokrajhar,0   ,0   ,2014,3
Haryana,Gurugram,2015,2018,2018,1
Delhi,East,2015,2017,2017,13
Assam,Bongaigaon,0   ,2019,2019,6
Haryana,Jhajjar,2018,2018,2018,53
Delhi,South West,2017,2020,2020,1
Assam,Sivasagar,2017,2017,2018,1
Assam,Sonitpur,2013,2019,2019,1
Assam,Kamrup Metro,2014,2014,2014,2
Haryana,Faridabad,2018,2018,2019,9
Assam,Golaghat,2018,2018,2018,6
Haryana,Panchkula,2016,2018,2018,1
Assam,Tinsukia,2016,2016,2016,2
Haryana,Rohtak,2017,2018,2018,11
Delhi,Central,2015,2016,2016,53
Assam,Kamrup,2014,2018,2018,4
Assam,Sivasagar,2014,2017,2017,2
Assam,Cachar,0   ,0   ,2015,8
Assam,Nagaon,0   ,2019,2019,1
Haryana,Jind,2019,2020,2020,11
Assam,Morigaon,2015,2018,2018,9
Haryana,Faridabad,2016,2018,2018,3
Haryana,Ambala,2018,2018,2018,56
Assam,Karbi Anglong,0   ,2016,2016,1
Assam,Barpeta,2019,2019,2019,65
Delhi,South,0   ,2018,2018,2
Haryana,Rewari,2017,2017,2017,20
Delhi,West,2013,2017,2017,2
Assam,Cachar,2016,2020,2020,1
Assam,Dhubri,2019,2019,2019,39
Assam,Udalguri,0   ,2016,2015,2
Haryana,Gurugram,2019,2019,2019,114
Assam,Nagaon,2015,2020,2020,1
Assam,Hailakandi,2015,2019,2019,1
Assam,Golaghat,0   ,2016,2016,52
Assam,Bongaigaon,2016,2016,2016,2
Assam,Kamrup,0   ,2014,2014,2
Assam,Kamrup,2017,2019,2019,4
Haryana,Gurugram,2016,2018,2018,1
Delhi,South West,2016,2017,2017,56
Assam,Goalpara,2017,2019,2019,5
Assam,Barpeta,2015,2018,2018,6
Delhi,South,2013,2013,2015,24
Assam,Lakhimpur,2017,2017,2017,5
Haryana,Fatehabad,2012,2016,2016,1
Assam,Cachar,2014,2018,2018,4
Haryana,Faridabad,2016,2016,2016,69
Delhi,South West,2016,2016,2016,63
Assam,Kokrajhar,2014,2018,2018,1
Delhi,Central,2016,2019,2019,5
Assam,Chirang,2014,2015,2015,2
Assam,Nagaon,2014,2017,2017,5
Assam,Dhubri,2013,0   ,2015,1
Delhi,New Delhi,2017,2020,2020,1
Assam,Kokrajhar,0   ,0   ,2015,3
Assam,Kamrup,2014,2014,2014,6
Assam,Golaghat,2015,2015,2015,8
Delhi,South East,2017,2018,2018,41
Assam,Morigaon,2015,2019,2019,5
Assam,Barpeta,2016,2019,2019,22
Assam,Baksa,2016,2019,2019,2
Haryana,Kurukshetra,2018,2018,2018,5
Delhi,Central,2014,2014,2014,56
Assam,Golaghat,2014,2015,2014,2
Delhi,West,2015,2014,2015,1
Haryana,Faridabad,2015,2015,2015,16
Assam,Dhemaji,2015,0   ,2016,1
Haryana,Jhajjar,2013,2015,2015,1
Haryana,Gurugram,2020,2020,2020,5
Assam,Dibrugarh,2013,2014,2014,1
Delhi,East,2013,2018,2018,3
Delhi,South West,2015,2015,2015,27
Haryana,Gurugram,2015,2019,2019,3
Delhi,West,2015,2016,2017,1
Assam,Dhemaji,2015,2016,2016,3
Assam,Cachar,0   ,2016,2016,1
Haryana,Jind,2016,2016,2016,19
Haryana,Kaithal,2019,2020,2020,2
Assam,Morigaon,2017,2019,2019,24
Delhi,North,2013,2015,2015,2
Haryana,Yamunanagar,2019,2019,2019,2
Delhi,North,2016,2018,2018,18
Assam,Dhemaji,2013,2015,2015,1
Assam,Udalguri,0   ,2018,2018,11
Delhi,West,2018,2019,2019,54
Haryana,Faridabad,2018,2019,2019,37
Haryana,Hisar,2018,2018,2018,70
Haryana,Palwal,2019,2019,2019,55
Delhi,Central,2012,2016,2016,1
Assam,Golaghat,2019,2020,2020,11
Delhi,East,2013,2019,2019,1
Delhi,North East,2018,2019,2019,38
Delhi,New Delhi,2017,2019,2019,3
Assam,Dhemaji,0   ,0   ,2013,3
Delhi,South West,2015,2016,2017,1
Assam,Morigaon,2016,2020,2020,1
Delhi,South,2013,2017,2018,1
Delhi,South West,2016,2017,2018,1
Assam,Tinsukia,2018,2018,2018,48
Delhi,South West,2012,2019,2019,1
Assam,Jorhat,2019,2019,2019,57
Assam,Kamrup,2016,2016,2016,5
Haryana,Jhajjar,2013,2014,2013,1
Delhi,Shahdara,2016,2018,2018,23
Assam,Baksa,2018,2019,2019,9
Assam,Tinsukia,2017,2018,2018,6
Assam,Chirang,2017,2018,2018,9
Assam,Goalpara,2015,2015,2015,1
Assam,Tinsukia,2018,2020,2020,1
Assam,Baksa,0   ,2018,2015,1
Assam,Udalguri,2015,2018,2018,1
Assam,Karimganj,2017,2019,2019,4
Haryana,Bhiwani,2018,2018,2018,1
Assam,Baksa,2019,2019,2019,36
Delhi,West,2020,2020,2020,2
Assam,Cachar,2017,2018,2018,8
Delhi,North West,2020,2020,2020,4
Assam,Sivasagar,2012,2018,2018,1
Haryana,Kurukshetra,2017,2017,2017,35
Assam,Chirang,0   ,2019,2019,13
Assam,Udalguri,2015,2016,2015,6
Haryana,Rewari,0   ,2016,2016,1
Delhi,South West,2013,2015,2015,4
Haryana,Kurukshetra,2020,2020,2020,7
Delhi,North,2017,2018,2018,61
Assam,Chirang,0   ,2016,2016,4
Assam,Dima Hasao,2017,2018,2018,3
Delhi,New Delhi,2013,2018,2018,1
Assam,Udalguri,0   ,2014,2014,1
Assam,Kamrup Metro,2013,2013,2013,1
Haryana,Jhajjar,2015,2016,2016,6
Assam,Dibrugarh,2014,2014,2014,3
Assam,Bongaigaon,2015,2015,2015,1
Delhi,South East,2013,2014,2014,5
Delhi,West,2016,2016,2016,147
Haryana,Ambala,2015,2015,2015,25
Assam,Karimganj,2019,2019,2019,5
Delhi,East,2017,2019,2019,17
Delhi,West,2017,2018,2018,53
Haryana,Gurugram,2017,2017,2017,108
Haryana,Rohtak,2014,2015,2015,1
Haryana,Sirsa,2020,2020,2020,2
Haryana,Jhajjar,2014,2016,2016,1
Haryana,Palwal,2014,2018,2018,1
Delhi,West,2013,2015,2015,5
Assam,Dhubri,2019,2020,2020,12
Haryana,Kaithal,2018,2019,2019,9
Assam,Sivasagar,2017,2017,2017,70
Delhi,South,2016,2018,2018,16
Assam,Cachar,0   ,2015,2015,8
Delhi,North,2014,2014,2014,25
Assam,Nagaon,2015,2019,2019,4
Haryana,Jhajjar,2017,2017,2017,34
Delhi,North,2017,2018,2019,1
Assam,Barpeta,2015,2016,2017,1
Delhi,North West,2016,2016,2016,119
Assam,Sivasagar,2016,2017,2017,10
Assam,Kokrajhar,2016,2018,2018,8
Delhi,North,2019,2020,2020,24
Delhi,North East,0   ,2019,2019,2
Haryana,Sonepat,2012,2014,2014,1
Delhi,North,2013,2015,2014,1
Assam,Dhubri,2014,2018,2018,1
Assam,Morigaon,2013,2015,2015,1
Assam,Karbi Anglong,2016,2019,2019,2
Assam,Karbi Anglong,2013,2013,2013,5
Assam,Nagaon,2015,2017,2017,13
Assam,Sivasagar,2015,2015,2015,39
Assam,Dibrugarh,2013,2016,2016,2
Assam,Goalpara,0   ,2016,2016,1
Assam,Sonitpur,0   ,2015,2015,28
Delhi,South,2012,2013,2015,2
Delhi,North,2015,2018,2018,12
Haryana,Palwal,2017,2018,2018,21
Delhi,Shahdara,2015,2017,2016,1
Assam,Barpeta,0   ,2018,2018,2
Delhi,South West,2020,2020,2020,1
Delhi,North,2020,2020,2020,2
Assam,Karimganj,2018,2020,2020,4
Delhi,North East,2015,2018,2018,16
Assam,Karbi Anglong,2015,2015,2015,16
